Name,Description,Latitude,Longitude,Layer,County
AlliCat Farm,,46.4019981,-93.7382913,Suppliers,Aitkin
Ardent Acres Farm Grass-fed Beef,,46.6672283,-93.5322153,Suppliers,Aitkin
Buck Hills Farm,location estimated,46.5372238,-93.5373197,Suppliers,Aitkin
Clear Lake Gardens,,46.4354812,-93.4966679,Suppliers,Aitkin
D & L Family Farm,Location estimated,46.2778291,-93.4484654,Suppliers,Aitkin
Dove Street Gardens,Location estimated,46.4953006,-93.5971407,Suppliers,Aitkin
Hollister Family Farm,,46.226472,-94.127184,Suppliers,Crow Wing
Hurd Family Farm,location estimated,46.5892316,-93.7004096,Suppliers,Aitkin
Maple Ridge Produce,,46.436571,-93.6430343,Suppliers,Aitkin
Ole Lake Farm,,46.414831,-93.603286,Suppliers,Aitkin
Willow Sedge Farm,Location estimated,46.81828,-93.3620129,Suppliers,Aitkin
Tony Bickford,,47.1454093,-93.3656975,Suppliers,Itasca
Allen Jackson,,47.1454093,-93.3656975,Suppliers,Itasca
Pampered Pork,,44.46832,-93.7530309,Suppliers,Le Sueur
The Early Birds,,44.9556538,-93.0220635,Suppliers,Ramsey
Greenstad,,44.2854414,-92.6608905,Suppliers,Goodhue
Belz Family Farm,,45.0150905,-92.3384726,Suppliers,St. Croix
Red Wing Mushrooms ,,44.5605282,-92.5273273,Suppliers,Goodhue
CannonBelles Cheese,,44.532918,-92.910953,Suppliers,Goodhue
Deborah Carpenter ,,44.471513,-92.86267,Suppliers,Goodhue
CJ Produce ,,44.39672,-92.887703,Suppliers,Goodhue
Boettcher's Maple Syrup,,44.6966415,-92.4599452,Suppliers,Pierce
Hinck Family Farm Produce,,44.458448,-92.4605755,Suppliers,Goodhue
Young Acres,,44.6993263,-92.6434723,Suppliers,Pierce
Kou Xiong ,,44.7044027,-93.2792882,Suppliers,Dakota
McCurdy Farm ,,44.5076461,-92.6531117,Suppliers,Goodhue
Twin Folk Farm ,,44.6546001,-92.5132562,Suppliers,Pierce
Driftless Orchard,,44.6511959,-92.5154825,Suppliers,Pierce
